Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Pitch,Roll,Stroke Detected,
11.563,2.999004,-2.648717,-7.698558,0.007202258,0.7561199,14.08592,0.4834369,-28.36121,29.12588,0,
11.625,2.798844,-2.698308,-7.74815,0.007202258,0.8181004,14.08592,0.4821392,-28.58282,28.97213,0,
11.688,2.899302,-2.248402,-7.548257,0.007202258,0.8881017,14.08592,0.4807049,-28.8157,28.7563,0,
11.75,2.999004,-1.798497,-7.498665,0.007202258,0.9600865,14.08592,0.4791339,-29.06411,28.50947,0,
11.813,3.199165,-1.348592,-7.44831,0.007202258,1.030088,14.08592,0.4774264,-29.34474,28.25825,0,
11.875,3.149313,-1.54839,-7.798505,0.007202258,1.090085,14.08592,0.4755823,-29.6609,27.99934,0,
11.938,3.099462,-1.748189,-7.998398,0.007202258,1.126077,14.08592,0.4736015,-30.02274,27.74075,0,
12,3.149313,-2.098195,-7.848096,0.007202258,1.134069,14.08592,0.4714842,-30.4196,27.48985,0,
12.063,3.298867,-1.948705,-7.898451,0.007202258,1.118085,14.08592,0.4692302,-30.82444,27.23962,0,
12.125,3.399325,-1.54839,-8.148699,0.007202258,1.086089,14.08592,0.4668397,-31.21072,27.01061,0,
12.188,3.349474,-1.598699,-8.398184,0.007202258,1.042104,14.08592,0.4643126,-31.56418,26.80415,0,
12.25,3.249016,-1.848806,-8.448539,0.007202258,1.000132,14.08592,0.4616488,-31.88692,26.6281,0,
12.313,3.048856,-2.248402,-8.548486,0.007202258,0.9721318,14.08592,0.4588484,-32.17574,26.50108,0,
12.375,3.099462,-2.148503,-8.698024,0.007202258,0.9581029,14.08592,0.4559115,-32.43246,26.40618,0,
12.438,3.298867,-2.348302,-8.498131,0.007202258,0.9500821,14.08592,0.4528379,-32.65035,26.3418,0,
12.5,2.798844,-2.198812,-8.797971,0.007202258,0.9540494,14.08592,0.4496278,-32.83572,26.30447,0,
12.563,3.199165,-2.198812,-8.998627,0.007202258,0.9680209,14.08592,0.446281,-33.00818,26.30114,0,
12.625,3.899348,-1.698598,-9.248112,0.007202258,0.986017,14.08592,0.4427976,-33.15785,26.33524,0,
12.688,3.649336,-1.948705,-9.547951,0.007202258,1.012034,14.08592,0.4391777,-33.25867,26.4285,0,
12.75,3.548878,-2.048604,-9.398413,0.007202258,1.044059,14.08592,0.4354211,-33.31925,26.56636,0,
12.813,3.048856,-1.598699,-9.398413,0.007202258,1.080109,14.08592,0.4315279,-33.36298,26.73045,0,
12.875,2.349428,-1.448491,-9.398413,0.007202258,1.122139,14.08592,0.4274981,-33.40629,26.94206,0,
12.938,2.349428,-1.598699,-9.248112,0.007202258,1.168164,14.08592,0.4233317,-33.47156,27.21185,0,
13,2.599439,-1.898396,-8.998627,0.007202258,1.206193,14.08592,0.4190288,-33.57868,27.53041,0,
13.063,3.298867,-2.098195,-8.548486,0.007202258,1.238211,14.08592,0.4145892,-33.73708,27.87023,0,
13.125,3.298867,-1.798497,-8.548486,0.007202258,1.260203,14.08592,0.410013,-33.92527,28.21374,0,
13.188,3.649336,-2.298711,-8.698024,0.007202258,1.262234,20.62171,0.4053002,-34.14347,28.57971,1,#5 Event Marker 
13.25,4.349519,-1.748189,-8.348592,0.007202258,1.228279,33.6933,0.4005874,-34.37679,28.95406,0,
13.313,4.899393,-1.4988,-7.498665,0.007202258,1.166363,33.6933,0.3958746,-34.59989,29.35782,0,
13.375,5.499119,-0.8986872,-6.898222,0.007202258,1.060513,33.6933,0.3911618,-34.77542,29.77822,0,
13.438,5.899439,-1.248693,-7.44831,0.007202258,0.9067643,33.6933,0.386449,-34.88063,30.2198,0,
13.5,5.298959,-1.648289,-8.04799,-0.4681468,0.7090623,33.6933,0.3817362,-34.91564,30.68349,0,
13.563,4.499073,-2.39861,-8.748379,-0.4681468,0.5013843,33.6933,0.3770234,-34.89986,31.16297,0,
13.625,3.99905,-3.198522,-8.89868,-0.4681468,0.2876567,33.6933,0.3723106,-34.86381,31.64975,0,
13.688,3.499027,-3.098623,-8.598077,-0.4681468,0.09980439,33.6933,0.3675978,-34.82708,32.10086,0,
