Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47596.688,4.188,,4/10/2018,5.399416,-1.598699,-7.298009,-0.4681468,-0.07248995,26.58434,0,,0
47596.75,4.25,,4/10/2018,5.699279,-1.248693,-7.298009,-0.4681468,-0.007864004,26.58434,0,,0
47596.813,4.313,,4/10/2018,5.699279,-1.648289,-7.44831,-0.4681468,0.06955709,26.58434,0,,0
47596.875,4.375,,4/10/2018,5.598821,-1.648289,-7.548257,-0.4681468,0.1595008,26.58434,0,,0
47596.938,4.438,,4/10/2018,5.74913,-1.398182,-7.648203,-0.4681468,0.2656683,26.58434,0,,0
47597,4.5,,4/10/2018,5.199256,-1.148794,-7.848096,-0.4681468,0.3817264,26.58434,0,,0
47597.063,4.563,,4/10/2018,5.048947,-1.348592,-7.648203,-0.4681468,0.5074404,26.58434,0,,0
47597.125,4.625,,4/10/2018,4.999096,-1.048176,-7.698558,-0.4681468,0.6045933,26.58434,0,,0
47597.188,4.688,,4/10/2018,3.699187,-0.9482773,-8.648432,-0.4681468,0.6629458,26.58434,0,,0
47597.25,4.75,,4/10/2018,4.599531,-0.5486811,-8.398184,-0.4681468,0.6743819,35.71274,0,#5 Event Marker ,1
47597.313,4.813,,4/10/2018,4.399371,-0.7987881,-8.04799,-0.4681468,0.6548208,53.96953,0,,0
47597.375,4.875,,4/10/2018,4.798936,-1.348592,-7.998398,-0.4681468,0.6061531,53.96953,0,,0
47597.438,4.938,,4/10/2018,4.849542,-1.4988,-8.598077,-0.4681468,0.5402967,53.96953,0,,0
47597.5,5,,4/10/2018,4.449222,-1.348592,-8.948272,-0.4681468,0.4252185,53.96953,0,,0
47597.563,5.063,,4/10/2018,4.749084,-0.5486811,-8.298238,-0.4681468,0.2648562,53.96953,0,,0
47597.625,5.125,,4/10/2018,4.899393,-0.8986872,-8.148699,-0.4681468,0.05517069,53.96953,0,,0
47597.688,5.188,,4/10/2018,5.048947,-1.898396,-8.098344,-0.4681468,-0.1998215,53.96953,0,,0
47597.75,5.25,,4/10/2018,5.399416,-2.948415,-7.948043,-0.4681468,-0.436064,53.96953,0,,0
47597.813,5.313,,4/10/2018,5.899439,-2.798207,-8.04799,-0.4681468,-0.5794535,53.96953,0,,0
47597.875,5.375,,4/10/2018,6.098844,-2.048604,-7.848096,-0.4681468,-0.6158357,53.96953,0,,0
47597.938,5.438,,4/10/2018,5.899439,-2.148503,-7.698558,-0.4681468,-0.5609795,53.96953,0,,0
47598,5.5,,4/10/2018,5.74913,-1.848806,-7.248417,-0.4681468,-0.4226662,53.96953,0,,0
47598.063,5.563,,4/10/2018,5.699279,-1.898396,-6.948577,-0.4681468,-0.2486799,53.96953,0,,0
47598.125,5.625,,4/10/2018,5.54897,-1.4988,-6.898222,-0.4681468,-0.07276337,53.96953,0,,0
47598.188,5.688,,4/10/2018,5.798981,-1.048176,-7.14847,-0.4681468,0.07735278,53.96953,0,,0
47598.25,5.75,,4/10/2018,5.899439,-0.9482773,-7.398718,-0.4681468,0.1879062,53.96953,0,,0
47598.313,5.813,,4/10/2018,5.649428,-1.298283,-7.798505,-0.4681468,0.2492115,53.96953,0,,0
47598.375,5.875,,4/10/2018,5.54897,-0.6981704,-8.098344,-0.4681468,0.2596341,52.14439,0,#5 Event Marker ,1
47598.438,5.938,,4/10/2018,5.598821,-0.7987881,-8.148699,-0.4681468,0.2035685,48.4941,0,,0
47598.5,6,,4/10/2018,5.199256,-0.8986872,-8.04799,-0.4681468,0.1033608,48.4941,0,,0
47598.563,6.063,,4/10/2018,4.849542,-1.248693,-7.998398,-0.4681468,-0.008607718,48.4941,0,,0
47598.625,6.125,,4/10/2018,4.548924,-1.398182,-8.448539,-0.4681468,-0.1039857,48.4941,0,,0
47598.688,6.188,,4/10/2018,4.699233,-1.198384,-8.698024,-0.4681468,-0.1824427,48.4941,0,,0
47598.75,6.25,,4/10/2018,4.499073,-1.398182,-8.698024,-0.4681468,-0.2256712,48.4941,0,,0
47598.813,6.313,,4/10/2018,4.399371,-1.048176,-8.548486,-0.4681468,-0.2432783,48.4941,0,,0
47598.875,6.375,,4/10/2018,4.499073,-0.9985862,-8.298238,-0.4681468,-0.2509183,48.4941,0,,0
47598.938,6.438,,4/10/2018,5.199256,-1.148794,-8.398184,-0.4681468,-0.2682466,48.4941,0,,0
47599,6.5,,4/10/2018,5.34881,-1.198384,-8.448539,-0.4681468,-0.3168962,48.4941,0,,0
47599.063,6.563,,4/10/2018,5.54897,-0.8483783,-8.198291,-0.4681468,-0.4025799,48.4941,0,,0
47599.125,6.625,,4/10/2018,5.649428,-0.9985862,-8.198291,-0.4681468,-0.5150891,48.4941,0,,0
47599.188,6.688,,4/10/2018,5.249107,-1.148794,-8.298238,-0.4681468,-0.5843248,48.4941,0,,0
47599.25,6.75,,4/10/2018,4.849542,-1.898396,-8.04799,-0.4681468,-0.5640808,48.4941,0,,0
47599.313,6.813,,4/10/2018,5.048947,-2.348302,-7.74815,-0.4681468,-0.3962585,48.4941,0,,0
47599.375,6.875,,4/10/2018,5.499119,-1.54839,-7.298009,-0.4681468,-0.08269276,48.4941,0,,0
47599.438,6.938,,4/10/2018,5.249107,0.04927583,-6.998169,-0.4681468,0.3327198,48.4941,0,,0
47599.5,7,,4/10/2018,5.34881,0.949086,-7.248417,-0.4681468,0.6923855,48.4941,0,,0
47599.563,7.063,,4/10/2018,4.949245,0.8994959,-7.44831,-0.4681468,0.8922784,42.7356,0,#5 Event Marker ,1
47599.625,7.125,,4/10/2018,5.149405,1.099294,-7.298009,-0.4681468,0.8824159,31.2186,0,,0
47599.688,7.188,,4/10/2018,5.399416,0.348973,-7.348363,-0.4681468,0.6666602,31.2186,0,,0
47599.75,7.25,,4/10/2018,5.34881,-0.3984732,-7.548257,-0.4681468,0.3108444,31.2186,0,,0
47599.813,7.313,,4/10/2018,5.298959,-1.148794,-7.398718,-0.4681468,-0.05554092,31.2186,0,,0
47599.875,7.375,,4/10/2018,5.249107,-1.54839,-7.398718,-0.4681468,-0.2907351,31.2186,0,,0
47599.938,7.438,,4/10/2018,5.399416,-1.54839,-7.798505,-0.4681468,-0.3610384,31.2186,0,,0
47600,7.5,,4/10/2018,5.34881,-1.348592,-7.548257,0.007202258,-0.2687074,31.2186,0,,0
47600.063,7.563,,4/10/2018,5.048947,-1.198384,-7.648203,0.007202258,-0.05391403,31.2186,0,,0
47600.125,7.625,,4/10/2018,5.298959,0.000404349,-7.848096,0.007202258,0.23908,31.2186,0,,0
47600.188,7.688,,4/10/2018,5.048947,0.000404349,-7.698558,0.007202258,0.4679925,31.2186,0,,0
47600.25,7.75,,4/10/2018,4.849542,0.1491749,-8.248646,0.007202258,0.5903882,31.2186,0,,0
47600.313,7.813,,4/10/2018,4.649382,-0.09877601,-8.598077,0.007202258,0.6057211,31.2186,0,,0
47600.375,7.875,,4/10/2018,4.599531,-0.04846713,-8.848325,0.007202258,0.5233347,31.2186,0,,0
47600.438,7.938,,4/10/2018,4.399371,-0.4983722,-9.148165,0.007202258,0.3527106,31.2186,0,,0
47600.5,8,,4/10/2018,4.048901,-1.148794,-9.648661,0.007202258,0.1652255,31.2186,0,,0
47600.563,8.063,,4/10/2018,4.298913,-1.348592,-9.748608,0.007202258,0.01037075,31.2186,0,,0
47600.625,8.125,,4/10/2018,4.399371,-1.048176,-9.648661,0.007202258,-0.126236,31.2186,0,,0
