Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Stroke Detected,Comment
5.375,6.749176,-1.998295,-6.848631,1.490867,0.6859176,NaN,0.3063315,0,
5.438,6.749176,-2.198812,-6.698329,1.490867,0.6859176,NaN,0.3063315,0,
5.5,6.799027,-2.148503,-6.798276,0.9867094,0.6859176,NaN,0.3063315,0,
5.563,6.949336,-2.298711,-6.948577,0.9867094,0.683934,NaN,0.3063315,0,
5.625,6.999187,-2.448201,-6.898222,0.9867094,0.6759708,NaN,0.3063315,0,
5.688,6.699325,-2.248402,-6.448081,0.9867094,0.662028,NaN,0.3063315,0,
5.75,6.499165,-2.298711,-6.698329,0.9867094,0.6421056,NaN,0.3063315,0,
5.813,6.598867,-2.498509,-7.098116,0.9867094,0.6141913,NaN,0.3063315,0,
5.875,6.348856,-2.298711,-7.248417,0.9867094,0.5742605,NaN,0.3063315,0,
5.938,6.149451,-2.448201,-7.248417,0.9867094,0.5282926,NaN,0.3063315,0,
6,5.899439,-2.698308,-7.198062,0.9867094,0.4762875,NaN,0.3063315,0,
6.063,5.649428,-2.348302,-7.44831,0.9867094,0.4182455,NaN,0.3063315,0,
6.125,5.399416,-2.448201,-7.44831,0.9867094,0.3581911,NaN,0.3063315,0,
6.188,5.399416,-2.798207,-7.348363,0.9867094,0.3101246,NaN,0.3063315,0,
6.25,5.149405,-2.748616,-7.44831,0.9867094,0.2740747,NaN,0.3063315,1,#* normal dive for animation 
6.313,5.149405,-2.748616,-7.698558,0.9867094,0.2500414,NaN,0.3063315,0,
6.375,5.399416,-3.298421,-7.798505,0.9867094,0.2420207,NaN,0.3063315,0,
6.438,5.199256,-3.548528,-7.848096,0.9867094,0.2519963,NaN,0.3063315,0,
6.5,5.048947,-3.098623,-7.898451,0.007202258,0.2760008,NaN,0.3063315,0,
6.563,4.899393,-2.748616,-7.798505,0.007202258,0.3120219,NaN,0.3063315,0,
6.625,4.899393,-2.348302,-7.74815,0.007202258,0.3600597,NaN,0.3063315,0,
6.688,5.048947,-2.198812,-7.548257,0.007202258,0.4121222,NaN,0.3063315,0,
6.75,4.749084,-1.54839,-7.598611,0.007202258,0.4582051,NaN,0.3063315,0,
6.813,4.798936,-1.998295,-7.848096,0.007202258,0.4882467,NaN,0.3063315,0,
6.875,4.599531,-2.348302,-8.098344,0.007202258,0.5002633,NaN,0.3063315,0,
6.938,4.298913,-2.648717,-8.198291,0.007202258,0.4922426,NaN,0.3063315,0,
7,3.899348,-2.548818,-7.998398,0.007202258,0.4482008,NaN,0.3063315,0,
7.063,3.649336,-2.448201,-8.248646,0.007202258,0.3761585,NaN,0.3063315,0,
7.125,3.548878,-2.498509,-8.448539,0.007202258,0.2841652,NaN,0.3063315,0,
7.188,3.149313,-2.598409,-8.648432,0.007202258,0.176188,NaN,0.3063315,0,
7.25,2.748993,-3.148213,-8.648432,0.007202258,0.05625163,NaN,0.3063315,0,
7.313,2.999004,-3.39832,-8.548486,0.007202258,-0.03568425,NaN,0.3063315,0,
7.375,2.899302,-3.148213,-8.398184,0.007202258,-0.0996484,NaN,0.3063315,0,
7.438,2.64929,-3.148213,-8.648432,0.007202258,-0.1256365,NaN,0.3063315,0,
7.5,2.798844,-3.548528,-8.698024,-0.4681468,-0.1116363,NaN,0.3063315,0,
7.563,2.949153,-3.298421,-8.698024,-0.4681468,-0.05966007,NaN,0.3110443,0,
7.625,2.798844,-2.798207,-8.648432,-0.4681468,0.04029651,NaN,0.3157571,0,
7.688,2.349428,-2.698308,-8.548486,-0.4681468,0.1982664,NaN,0.3204699,0,
7.75,2.399279,-3.098623,-8.698024,-0.4681468,0.3942123,NaN,0.3251827,0,
7.813,2.599439,-2.698308,-8.748379,-0.4681468,0.628163,NaN,0.3298955,0,
7.875,3.298867,-1.598699,-8.498131,-0.4681468,0.9001184,NaN,0.3346083,0,
7.938,3.399325,-0.8483783,-8.198291,-0.4681468,1.15011,NaN,0.3393211,0,
8,3.548878,-0.6485802,-8.598077,-0.4681468,1.356118,NaN,0.3440339,0,
8.063,3.199165,-0.8986872,-9.398413,-0.4681468,1.522166,NaN,0.3487467,0,
8.125,2.849451,-1.4988,-9.398413,-0.4681468,1.636209,NaN,0.3534595,0,
8.188,2.299577,-1.948705,-8.998627,-0.4681468,1.698247,NaN,0.3581723,0,
8.25,2.149268,-1.298283,-8.998627,-0.4681468,1.762269,NaN,0.3628851,0,
8.313,1.599393,-1.198384,-8.797971,-0.4681468,1.844287,NaN,0.3675978,0,
8.375,2.24897,-0.5982713,-8.698024,-0.4681468,1.962239,NaN,0.3723106,0,
8.438,2.149268,-1.698598,-8.998627,-0.4681468,2.124148,NaN,0.3770234,0,
8.5,2.349428,-2.048604,-8.797971,-0.4681468,2.345967,NaN,0.3817362,0,
8.563,2.949153,-0.3481643,-8.198291,-0.4681468,2.5817,NaN,0.386449,0,
8.625,3.298867,0.4495908,-7.598611,-0.4681468,2.817318,NaN,0.3911618,0,
8.688,4.099508,0.5494898,-8.148699,-0.4681468,3.024935,NaN,0.3958746,0,
8.75,4.19921,0.4991809,-8.148699,-0.4681468,3.204552,NaN,0.4005874,0,
8.813,3.849496,0.4991809,-8.348592,-0.4681468,3.320263,NaN,0.4053002,0,
8.875,3.949199,0.6989791,-8.598077,-0.4681468,3.376091,14.08592,0.410013,1,Stroke Detected
8.938,4.048901,0.000404349,-8.348592,-0.4681468,3.370112,14.08592,0.4145892,0,
9,3.548878,-0.9482773,-8.598077,-0.4681468,3.316267,14.08592,0.4190288,0,
9.063,3.298867,0.3992819,-8.548486,-0.4681468,3.204552,14.08592,0.4233317,0,
9.125,3.548878,1.899205,-8.848325,-0.4681468,3.058915,14.08592,0.4274981,0,
9.188,3.548878,0.7492879,-9.048219,-0.4681468,2.911295,14.08592,0.4315279,0,
9.25,3.699187,-0.1986751,-9.19852,-0.4681468,2.7796,14.08592,0.4354211,0,
9.313,3.499027,-0.7484792,-9.148165,-0.4681468,2.663833,14.08592,0.4391777,0,
9.375,3.548878,-1.148794,-9.148165,-0.4681468,2.584,14.08592,0.4427976,0,
9.438,3.499027,-1.098485,-8.89868,-0.4681468,2.538089,14.08592,0.446281,0,
9.5,3.249016,-1.198384,-8.797971,0.007202258,2.514113,14.08592,0.4496278,0,
9.563,2.349428,-0.04846713,-8.448539,0.007202258,2.504109,14.08592,0.4528379,0,
9.625,2.44913,-0.4487821,-8.448539,0.007202258,2.508076,14.08592,0.4559115,0,
9.688,3.499027,-1.048176,-8.498131,0.007202258,2.514027,14.08592,0.4588484,0,
9.75,4.349519,-0.4983722,-8.298238,0.007202258,2.515982,14.08592,0.4616488,0,
9.813,4.798936,0.04927583,-7.398718,0.007202258,2.511957,14.08592,0.4643126,0,
9.875,5.74913,0.1491749,-7.098116,0.007202258,2.465961,14.08592,0.4668397,0,
9.938,5.54897,0.4495908,-7.74815,0.007202258,2.371983,14.08592,0.4692302,0,
10,4.149359,0.2490739,-8.648432,0.007202258,2.23201,14.08592,0.4714842,0,
10.063,3.149313,-0.5486811,-8.598077,0.007202258,2.038048,14.08592,0.4736015,0,
10.125,2.699142,-1.448491,-7.44831,0.007202258,1.788084,14.08592,0.4755823,0,
10.188,3.449176,-2.048604,-7.998398,0.007202258,1.554105,14.08592,0.4774264,0,
10.25,3.449176,-1.598699,-8.548486,0.007202258,1.332142,14.08592,0.4791339,0,
10.313,3.79889,-1.998295,-8.548486,0.007202258,1.122167,14.08592,0.4807049,0,
10.375,3.949199,-2.548818,-9.148165,0.007202258,0.9501684,14.08592,0.4821392,0,
10.438,3.449176,-2.498509,-9.598306,0.007202258,0.8201703,14.08592,0.4834369,0,
10.5,2.498981,-2.448201,-9.848554,0.007202258,0.6961804,14.08592,0.484598,0,
10.563,1.899256,-1.648289,-10.04845,0.007202258,0.6041584,14.08592,0.4856226,0,
10.625,1.849405,-2.048604,-9.948501,0.007202258,0.5461451,14.08592,0.4865105,0,
10.688,1.799554,-2.798207,-9.547951,0.007202258,0.5081404,14.08592,0.4872618,0,
10.75,1.699096,-3.298421,-9.798199,0.007202258,0.4881318,14.08592,0.4878765,0,
10.813,1.799554,-3.298421,-9.848554,0.007202258,0.4861194,14.08592,0.4883546,0,
10.875,2.349428,-2.948415,-9.49836,0.007202258,0.4901154,14.08592,0.4886961,0,
10.938,2.299577,-2.348302,-9.19852,0.007202258,0.5001197,14.08592,0.488901,0,
11,2.149268,-2.498509,-9.448005,0.007202258,0.5161322,14.08592,0.4889693,0,
11.063,1.849405,-2.548818,-9.098573,0.007202258,0.5361408,14.08592,0.488901,0,
11.125,1.849405,-2.498509,-8.748379,0.007202258,0.5621577,14.08592,0.4886961,0,
11.188,2.399279,-2.348302,-8.348592,0.007202258,0.5861909,14.08592,0.4883546,0,
11.25,2.599439,-2.348302,-8.398184,0.007202258,0.6061995,14.08592,0.4878765,0,
11.313,2.699142,-2.39861,-8.148699,0.007202258,0.6241957,14.08592,0.4872618,0,
11.375,2.999004,-2.198812,-7.698558,0.007202258,0.6461878,14.08592,0.4865105,0,
11.438,3.099462,-2.048604,-7.698558,0.007202258,0.6721759,14.08592,0.4856226,0,
11.5,2.798844,-2.298711,-7.848096,0.007202258,0.7081396,14.08592,0.484598,0,
11.563,2.999004,-2.648717,-7.698558,0.007202258,0.7561199,14.08592,0.4834369,0,
11.625,2.798844,-2.698308,-7.74815,0.007202258,0.8181004,14.08592,0.4821392,0,
11.688,2.899302,-2.248402,-7.548257,0.007202258,0.8881017,14.08592,0.4807049,0,
11.75,2.999004,-1.798497,-7.498665,0.007202258,0.9600865,14.08592,0.4791339,0,
11.813,3.199165,-1.348592,-7.44831,0.007202258,1.030088,14.08592,0.4774264,0,
11.875,3.149313,-1.54839,-7.798505,0.007202258,1.090085,14.08592,0.4755823,0,
11.938,3.099462,-1.748189,-7.998398,0.007202258,1.126077,14.08592,0.4736015,0,
12,3.149313,-2.098195,-7.848096,0.007202258,1.134069,14.08592,0.4714842,0,
12.063,3.298867,-1.948705,-7.898451,0.007202258,1.118085,14.08592,0.4692302,0,
12.125,3.399325,-1.54839,-8.148699,0.007202258,1.086089,14.08592,0.4668397,0,
12.188,3.349474,-1.598699,-8.398184,0.007202258,1.042104,14.08592,0.4643126,0,
12.25,3.249016,-1.848806,-8.448539,0.007202258,1.000132,14.08592,0.4616488,0,
12.313,3.048856,-2.248402,-8.548486,0.007202258,0.9721318,14.08592,0.4588484,0,
12.375,3.099462,-2.148503,-8.698024,0.007202258,0.9581029,14.08592,0.4559115,0,
12.438,3.298867,-2.348302,-8.498131,0.007202258,0.9500821,14.08592,0.4528379,0,
12.5,2.798844,-2.198812,-8.797971,0.007202258,0.9540494,14.08592,0.4496278,0,
12.563,3.199165,-2.198812,-8.998627,0.007202258,0.9680209,14.08592,0.446281,0,
12.625,3.899348,-1.698598,-9.248112,0.007202258,0.986017,14.08592,0.4427976,0,
12.688,3.649336,-1.948705,-9.547951,0.007202258,1.012034,14.08592,0.4391777,0,
12.75,3.548878,-2.048604,-9.398413,0.007202258,1.044059,14.08592,0.4354211,0,
12.813,3.048856,-1.598699,-9.398413,0.007202258,1.080109,14.08592,0.4315279,0,
12.875,2.349428,-1.448491,-9.398413,0.007202258,1.122139,14.08592,0.4274981,0,
12.938,2.349428,-1.598699,-9.248112,0.007202258,1.168164,14.08592,0.4233317,0,
13,2.599439,-1.898396,-8.998627,0.007202258,1.206193,14.08592,0.4190288,0,
13.063,3.298867,-2.098195,-8.548486,0.007202258,1.238211,14.08592,0.4145892,0,
13.125,3.298867,-1.798497,-8.548486,0.007202258,1.260203,14.08592,0.410013,0,
