ECG,AcX,AcY,AcZ,Depth
2338,5.36,0.76,5.98,119.2
2305,5.36,0.76,5.68,119.2
2182,5.36,0.76,5.68,119.2
2195,5.36,0.76,5.68,119.4
2207,5.22,0.76,5.68,119.4
2041,5.22,1.22,5.68,119.4
2100,5.22,1.22,5.82,119.4
2158,5.22,1.22,5.82,119.4
2074,5.22,1.22,5.82,119.4
2028,4.9,1.22,5.82,119.4
1999,4.9,0.62,5.82,119.4
1969,4.9,0.62,5.98,119.4
1898,4.9,0.62,5.98,119.4
1877,4.9,0.62,5.98,119.6
1899,4.9,0.62,5.98,119.6
1906,4.9,0.76,5.98,119.6
1917,4.9,0.76,6.28,119.6
1818,4.9,0.76,6.28,119.6
1819,4.9,0.76,6.28,119.8
1863,5.22,0.76,6.28,119.8
1801,5.22,0.92,6.28,119.8
1794,5.22,0.92,6.28,119.8
1819,5.22,0.92,6.28,119.8
1793,5.22,0.92,6.28,119.6
1767,5.06,0.92,6.28,119.6
1757,5.06,1.22,6.28,119.6
1758,5.06,1.22,6.14,119.6
1722,5.06,1.22,6.14,119.6
1686,5.06,1.22,6.14,119.6
1710,5.36,1.22,6.14,119.6
1758,5.36,1.08,6.14,119.6
1703,5.36,1.08,6.14,119.6
1690,5.36,1.08,6.14,119.6
1655,5.36,1.08,6.14,119.8
1699,5.06,1.08,6.14,119.8
1697,5.06,1.38,6.14,119.8
1604,5.06,1.38,6.14,119.8
1617,5.06,1.38,6.14,119.8
1598,5.06,1.38,6.14,119.8
1565,5.06,1.38,6.14,119.8
1479,5.06,0.76,6.14,119.8
1443,5.06,0.76,6.28,119.8
1445,5.06,0.76,6.28,119.8
1407,5.06,0.76,6.28,119.8
1417,4.9,0.76,6.28,119.8
1456,4.9,0.92,6.28,119.8
1425,4.9,0.92,6.14,119.8
1339,4.9,0.92,6.14,119.8
1323,4.9,0.92,6.14,119.8
1380,5.06,0.92,6.14,119.8
1378,5.06,0.92,6.14,119.8
1398,5.06,0.92,5.82,119.8
1366,5.06,0.92,5.82,119.8
1363,5.06,0.92,5.82,120
1351,5.06,0.92,5.82,120
1322,5.06,0.76,5.82,120
1297,5.06,0.76,5.82,120
1324,5.06,0.76,5.82,120
1281,5.06,0.76,5.82,120
1268,5.06,0.76,5.82,120
1286,5.06,1.08,5.82,120
1236,5.06,1.08,5.82,120
1266,5.06,1.08,5.82,120
1282,5.06,1.08,5.82,119.8
1251,5.22,1.08,5.82,119.8
1226,5.22,1.08,5.82,119.8
1256,5.22,1.08,5.98,119.8
1270,5.22,1.08,5.98,119.8
1249,5.22,1.08,5.98,120.2
1265,5.06,1.08,5.98,120.2
1268,5.06,1.38,5.98,120.2
1284,5.06,1.38,6.6,120.2
1227,5.06,1.38,6.6,120.2
1223,5.06,1.38,6.6,120.2
1258,4.9,1.38,6.6,120.2
1210,4.9,0.92,6.6,120.2
1208,4.9,0.92,6.28,120.2
1249,4.9,0.92,6.28,120.2
1208,4.9,0.92,6.28,120.2
1224,5.22,0.92,6.28,120.2
1211,5.22,1.22,6.28,120.2
1235,5.22,1.22,6.28,120.2
1225,5.22,1.22,6.28,120.2
1213,5.22,1.22,6.28,120.2
1249,5.06,1.22,6.28,120.2
1241,5.06,1.08,6.28,120.2
1231,5.06,1.08,5.82,120.2
1175,5.06,1.08,5.82,120.2
1171,5.06,1.08,5.82,120.4
1159,5.22,1.08,5.82,120.4
1168,5.22,1.08,5.82,120.4
1098,5.22,1.08,6.28,120.4
1066,5.22,1.08,6.28,120.4
1130,5.22,1.08,6.28,120.4
1112,5.06,1.08,6.28,120.4
1137,5.06,0.76,6.28,120.4
1054,5.06,0.76,6.28,120.4
1093,5.06,0.76,6.28,120.4
1181,5.06,0.76,6.28,120.4
1092,4.76,0.76,6.28,120.4
1168,4.76,0.92,6.28,120.4
1236,4.76,0.92,6.14,120.4
1171,4.76,0.92,6.14,120.4
1281,4.76,0.92,6.14,120.6
1240,5.06,0.92,6.14,120.6
1227,5.06,0.92,6.14,120.6
1298,5.06,0.92,6.14,120.6
1213,5.06,0.92,6.14,120.6
1226,5.06,0.92,6.14,120.4
1249,4.9,0.92,6.14,120.4
1175,4.9,0.92,6.14,120.4
1246,4.9,0.92,5.98,120.4
1305,4.9,0.92,5.98,120.4
1327,4.9,0.92,5.98,120.6
1312,5.06,0.92,5.98,120.6
1283,5.06,1.08,5.98,120.6
1176,5.06,1.08,5.82,120.6
1169,5.06,1.08,5.82,120.6
1129,5.06,1.08,5.82,120.6
1089,5.06,1.08,5.82,120.6
1161,5.06,1.08,5.82,120.6
1096,5.06,1.08,6.14,120.6
1087,5.06,1.08,6.14,120.6
1099,5.06,1.08,6.14,120.6
1111,5.06,1.08,6.14,120.6
1083,5.06,0.92,6.14,120.6
1110,5.06,0.92,6.14,120.6
1195,5.06,0.92,6.14,120.6
1119,5.06,0.92,6.14,120.6
1080,5.06,0.92,6.14,120.6
1137,5.06,0.3,6.14,120.6
1127,5.06,0.3,5.98,120.6
1228,5.06,0.3,5.98,120.6
1206,5.06,0.3,5.98,120.8
1223,5.06,0.3,5.98,120.8
1229,5.06,0.46,5.98,120.8
1195,5.06,0.46,5.82,120.8
1172,5.06,0.46,5.82,120.8
1147,5.06,0.46,5.82,120.8
1191,4.9,0.46,5.82,120.8
1124,4.9,1.22,5.82,120.8
1137,4.9,1.22,6.28,120.8
1116,4.9,1.22,6.28,120.8
1124,4.9,1.22,6.28,120.8
1054,5.36,1.22,6.28,120.8
1063,5.36,1.38,6.28,120.8
1119,5.36,1.38,6.14,120.8
1152,5.36,1.38,6.14,120.8
1173,5.36,1.38,6.14,120.8
1260,5.36,1.38,6.14,120.8
1283,5.36,0.92,6.14,120.8
1305,5.36,0.92,6.28,120.8
1268,5.36,0.92,6.28,120.8
1342,5.36,0.92,6.28,121
1255,5.06,0.92,6.28,121
1305,5.06,0.76,6.28,121
1265,5.06,0.76,5.82,121
1256,5.06,0.76,5.82,121
1247,5.06,0.76,5.82,121
1244,5.52,0.76,5.82,121
1213,5.52,1.22,5.82,121
1151,5.52,1.22,6.14,121
1176,5.52,1.22,6.14,121
1192,5.52,1.22,6.14,121.2
1217,5.22,1.22,6.14,121.2
1241,5.22,1.22,6.14,121.2
1236,5.22,1.22,5.82,121.2
1212,5.22,1.22,5.82,121.2
1221,5.22,1.22,5.82,121
1150,5.22,1.22,5.82,121
1155,5.22,0.76,5.82,121
1107,5.22,0.76,5.68,121
1168,5.22,0.76,5.68,121
1141,5.22,0.76,5.68,121.2
1131,5.06,0.76,5.68,121.2
1181,5.06,0.92,5.68,121.2
1111,5.06,0.92,6.14,121.2
1087,5.06,0.92,6.14,121.2
1121,5.06,0.92,6.14,121
1142,5.36,0.92,6.14,121
1180,5.36,1.38,6.14,121
1243,5.36,1.38,6.44,121
1199,5.36,1.38,6.44,121
1196,5.36,1.38,6.44,121.2
1156,4.9,1.38,6.44,121.2
1101,4.9,1.08,6.44,121.2
1127,4.9,1.08,6.14,121.2
1014,4.9,1.08,6.14,121.2
1081,4.9,1.08,6.14,121.2
1097,4.9,1.08,6.14,121.2
1085,4.9,0.92,6.14,121.2
1079,4.9,0.92,5.82,121.2
1115,4.9,0.92,5.82,121.2
1156,4.9,0.92,5.82,121.4
1149,5.22,0.92,5.82,121.4
1169,5.22,1.08,5.82,121.4
1164,5.22,1.08,5.52,121.4
1141,5.22,1.08,5.52,121.4
1215,5.22,1.08,5.52,121.4
1171,5.22,1.08,5.52,121.4
1105,5.22,1.38,5.52,121.4
1158,5.22,1.38,6.28,121.4
1064,5.22,1.38,6.28,121.4
1095,5.22,1.38,6.28,121.6
1185,5.22,1.38,6.28,121.6
1112,5.22,1.22,6.28,121.6
1129,5.22,1.22,5.98,121.6
1245,5.22,1.22,5.98,121.6
1196,5.22,1.22,5.98,121.4
1214,5.06,1.22,5.98,121.4
1244,5.06,0.46,5.98,121.4
1258,5.06,0.46,5.98,121.4
1255,5.06,0.46,5.98,121.4
1188,5.06,0.46,5.98,121.4
